component,value,count
geometry,0.82,124
geometry,0.821,151
geometry,0.822,122
geometry,0.823,127
geometry,0.824,120
geometry,0.825,125
geometry,0.826,112
geometry,0.827,133
geometry,0.828,107
geometry,0.829,117
geometry,0.83,115
geometry,0.831,115
geometry,0.832,106
geometry,0.833,108
geometry,0.834,106
geometry,0.835,104
geometry,0.836,117
geometry,0.837,118
geometry,0.838,106
geometry,0.839,109
geometry,0.84,115
geometry,0.841,109
geometry,0.842,119
geometry,0.843,132
geometry,0.844,119
geometry,0.845,104
geometry,0.846,92
geometry,0.847,103
geometry,0.848,134
geometry,0.849,111
geometry,0.85,112
geometry,0.851,108
geometry,0.852,104
geometry,0.853,111
geometry,0.854,134
geometry,0.855,120
geometry,0.856,104
geometry,0.857,107
geometry,0.858,91
geometry,0.859,118
geometry,0.86,89
geometry,0.861,109
geometry,0.862,115
geometry,0.863,106
geometry,0.864,108
geometry,0.865,91
geometry,0.866,93
geometry,0.867,123
geometry,0.868,85
geometry,0.869,120
geometry,0.87,97
geometry,0.871,114
geometry,0.872,121
geometry,0.873,123
geometry,0.874,104
geometry,0.875,106
geometry,0.876,96
geometry,0.877,109
geometry,0.878,110
geometry,0.879,113
geometry,0.88,107
geometry,0.881,108
geometry,0.882,124
geometry,0.883,122
geometry,0.884,93
geometry,0.885,106
geometry,0.886,91
geometry,0.887,125
geometry,0.888,107
geometry,0.889,109
geometry,0.89,91
geometry,0.891,92
geometry,0.892,96
geometry,0.893,101
geometry,0.894,101
geometry,0.895,79
geometry,0.896,80
geometry,0.897,99
geometry,0.898,105
geometry,0.899,89
geometry,0.9,99
geometry,0.901,100
geometry,0.902,100
geometry,0.903,100
geometry,0.904,110
geometry,0.905,111
geometry,0.906,96
geometry,0.907,113
geometry,0.908,89
geometry,0.909,104
geometry,0.91,108
geometry,0.911,94
geometry,0.912,101
geometry,0.913,95
geometry,0.914,85
geometry,0.915,91
geometry,0.916,100
geometry,0.917,98
geometry,0.918,107
geometry,0.919,96
geometry,0.92,114
geometry,0.921,93
geometry,0.922,87
geometry,0.923,102
geometry,0.924,102
geometry,0.925,94
geometry,0.926,81
geometry,0.927,92
geometry,0.928,75
geometry,0.929,85
geometry,0.93,89
geometry,0.931,100
geometry,0.932,86
geometry,0.933,91
geometry,0.934,94
geometry,0.935,83
geometry,0.936,94
geometry,0.937,84
geometry,0.938,83
geometry,0.939,80
geometry,0.94,98
geometry,0.941,84
geometry,0.942,82
geometry,0.943,106
geometry,0.944,105
geometry,0.945,90
geometry,0.946,105
geometry,0.947,95
geometry,0.948,79
geometry,0.949,84
geometry,0.95,94
geometry,0.951,90
geometry,0.952,81
geometry,0.953,105
geometry,0.954,97
geometry,0.955,88
geometry,0.956,97
geometry,0.957,85
geometry,0.958,85
geometry,0.959,96
geometry,0.96,116
geometry,0.961,99
geometry,0.962,87
geometry,0.963,85
geometry,0.964,100
geometry,0.965,94
geometry,0.966,88
geometry,0.967,87
geometry,0.968,77
geometry,0.969,88
geometry,0.97,79
geometry,0.971,82
geometry,0.972,86
geometry,0.973,91
geometry,0.974,96
geometry,0.975,88
geometry,0.976,89
geometry,0.977,89
geometry,0.978,95
geometry,0.979,94
geometry,0.98,106
geometry,0.981,75
geometry,0.982,92
geometry,0.983,93
geometry,0.984,84
geometry,0.985,86
geometry,0.986,82
geometry,0.987,83
geometry,0.988,82
geometry,0.989,83
geometry,0.99,92
geometry,0.991,94
geometry,0.992,86
geometry,0.993,75
geometry,0.994,74
geometry,0.995,71
geometry,0.996,93
geometry,0.997,92
geometry,0.998,77
geometry,0.999,84
geometry,1,72
geometry,1.001,72
geometry,1.002,82
geometry,1.003,91
geometry,1.004,87
geometry,1.005,84
geometry,1.006,95
geometry,1.007,85
geometry,1.008,89
geometry,1.009,91
geometry,1.01,91
geometry,1.011,83
geometry,1.012,85
geometry,1.013,85
geometry,1.014,78
geometry,1.015,87
geometry,1.016,73
geometry,1.017,93
geometry,1.018,82
geometry,1.019,91
geometry,1.02,93
geometry,1.021,74
geometry,1.022,89
geometry,1.023,92
geometry,1.024,69
geometry,1.025,85
geometry,1.026,70
geometry,1.027,80
geometry,1.028,70
geometry,1.029,69
geometry,1.03,84
geometry,1.031,82
geometry,1.032,81
geometry,1.033,72
geometry,1.034,84
geometry,1.035,97
geometry,1.036,89
geometry,1.037,94
geometry,1.038,78
geometry,1.039,64
geometry,1.04,88
geometry,1.041,79
geometry,1.042,74
geometry,1.043,95
geometry,1.044,74
geometry,1.045,78
geometry,1.046,64
geometry,1.047,75
geometry,1.048,70
geometry,1.049,93
geometry,1.05,71
geometry,1.051,81
geometry,1.052,64
geometry,1.053,88
geometry,1.054,78
geometry,1.055,62
geometry,1.056,73
geometry,1.057,72
geometry,1.058,76
geometry,1.059,64
geometry,1.06,78
geometry,1.061,64
geometry,1.062,63
geometry,1.063,67
geometry,1.064,84
geometry,1.065,74
geometry,1.066,58
geometry,1.067,75
geometry,1.068,80
geometry,1.069,76
geometry,1.07,63
geometry,1.071,71
geometry,1.072,81
geometry,1.073,62
geometry,1.074,74
geometry,1.075,68
geometry,1.076,73
geometry,1.077,71
geometry,1.078,62
geometry,1.079,62
geometry,1.08,70
geometry,1.081,87
geometry,1.082,89
geometry,1.083,73
geometry,1.084,65
geometry,1.085,61
geometry,1.086,77
geometry,1.087,77
geometry,1.088,75
geometry,1.089,69
geometry,1.09,58
